label,pattern,replace,language
fruit_type_term,sicônios,syconium,portuguese
fruit_type_term,aquenio,achene,spanish
fruit_type_term,aquenio alado,achene,spanish
fruit_type_term,aquenios,achene,spanish
fruit_type_term,aquenios alados,achene,spanish
fruit_type_term,cipsela,achene,spanish
fruit_type_term,cipselas,achene,spanish
fruit_type_term,antocarpo,anthocarp,spanish
fruit_type_term,antocarpos,anthocarp,spanish
fruit_type_term,anfisarca,berry,spanish
fruit_type_term,anfisarcas,berry,spanish
fruit_type_term,arilocarpio,berry,spanish
fruit_type_term,arilocarpios,berry,spanish
fruit_type_term,balausta,berry,spanish
fruit_type_term,balaustas,berry,spanish
fruit_type_term,baya,berry,spanish
fruit_type_term,baya carnosa,berry,spanish
fruit_type_term,baya pulposa,berry,spanish
fruit_type_term,bayas,berry,spanish
fruit_type_term,bayas carnosas,berry,spanish
fruit_type_term,bayas pulposas,berry,spanish
fruit_type_term,cactidio,berry,spanish
fruit_type_term,cactidios,berry,spanish
fruit_type_term,epispermatio,berry,spanish
fruit_type_term,epispermatios,berry,spanish
fruit_type_term,hesperidio,berry,spanish
fruit_type_term,hesperidios,berry,spanish
fruit_type_term,pepo,berry,spanish
fruit_type_term,pepos,berry,spanish
fruit_type_term,sincarpo,berry,spanish
fruit_type_term,sincarpos,berry,spanish
fruit_type_term,circuncísil,capsule,spanish
fruit_type_term,circuncísiles,capsule,spanish
fruit_type_term,cápsula,capsule,spanish
fruit_type_term,cápsula circuncísil,capsule,spanish
fruit_type_term,cápsula loculicida,capsule,spanish
fruit_type_term,cápsula poricida,capsule,spanish
fruit_type_term,cápsula septícida,capsule,spanish
fruit_type_term,cápsulas,capsule,spanish
fruit_type_term,cápsulas circuncísiles,capsule,spanish
fruit_type_term,cápsulas loculicidas,capsule,spanish
fruit_type_term,cápsulas poricidas,capsule,spanish
fruit_type_term,cápsulas septícidas,capsule,spanish
fruit_type_term,loculicida,capsule,spanish
fruit_type_term,loculicidas,capsule,spanish
fruit_type_term,pixidio,capsule,spanish
fruit_type_term,pixidios,capsule,spanish
fruit_type_term,poricida,capsule,spanish
fruit_type_term,poricidas,capsule,spanish
fruit_type_term,septícida,capsule,spanish
fruit_type_term,septícidas,capsule,spanish
fruit_type_term,siliqua,capsule,spanish
fruit_type_term,siliquas,capsule,spanish
fruit_type_term,silícula,capsule,spanish
fruit_type_term,silículas,capsule,spanish
fruit_type_term,cariopses,caryopsis,spanish
fruit_type_term,cariopsis,caryopsis,spanish
fruit_type_term,drupa,drupe,spanish
fruit_type_term,drupa agregada,drupe,spanish
fruit_type_term,drupa compuesta,drupe,spanish
fruit_type_term,drupas,drupe,spanish
fruit_type_term,drupas agregadas,drupe,spanish
fruit_type_term,drupas compuestas,drupe,spanish
fruit_type_term,drupeto,drupe,spanish
fruit_type_term,drupetos,drupe,spanish
fruit_type_term,drupéola,drupe,spanish
fruit_type_term,drupéolas,drupe,spanish
fruit_type_term,fruto drupáceo,drupe,spanish
fruit_type_term,frutos drupáceos,drupe,spanish
fruit_type_term,pseudodrupa,drupe,spanish
fruit_type_term,pseudodrupas,drupe,spanish
fruit_type_term,folículo,follicle,spanish
fruit_type_term,folículos,follicle,spanish
fruit_type_term,cono,gymnosperm_cone,spanish
fruit_type_term,cono ovulífero,gymnosperm_cone,spanish
fruit_type_term,cono polinífero,gymnosperm_cone,spanish
fruit_type_term,cono seminífero,gymnosperm_cone,spanish
fruit_type_term,conos,gymnosperm_cone,spanish
fruit_type_term,conos ovulíferos,gymnosperm_cone,spanish
fruit_type_term,conos poliníferos,gymnosperm_cone,spanish
fruit_type_term,conos seminíferos,gymnosperm_cone,spanish
fruit_type_term,estróbilo,gymnosperm_cone,spanish
fruit_type_term,estróbilos,gymnosperm_cone,spanish
fruit_type_term,megastrobilo,gymnosperm_cone,spanish
fruit_type_term,megastrobilos,gymnosperm_cone,spanish
